	score-min	score-med	score-max	score-std	unique_rate	nevals
0	0.1721603508463974	0.6739492963464866	0.6803555180701553	0.1569377883766989	1.0	200
1	0.1721603508463974	inf	inf	0.17689786193909027	0.685	144
2	0.1721603508463974	inf	inf	0.179659104222495	0.735	159
3	0.1721603508463974	inf	inf	0.19217290645563884	0.68	147
4	0.1721603508463974	inf	inf	0.1722901466981722	0.705	154
5	0.15517232571217654	inf	inf	0.12588865260561866	0.63	143
6	0.15517232571217654	inf	inf	0.14462625333416407	0.7	158
7	0.14541608827415034	0.6792417058905476	inf	0.1269706896563176	0.625	140
8	0.14541608827414995	0.6800299128147764	inf	0.14561297353281352	0.65	162
9	0.14541608827414995	0.6803555180701553	inf	0.18486537963768734	0.595	161
10	0.1396155846224347	inf	inf	0.13469033370794567	0.725	163
11	0.1396155846224347	0.6803555180701553	inf	0.1687609631611697	0.735	161
12	0.13961558462236298	0.28521315354092314	inf	0.13046802264928767	0.59	146
13	0.13961558462236295	0.172480149092256	inf	0.15313396653215108	0.615	147
14	0.13591770368510045	0.23944606524493178	inf	0.13961453446115465	0.615	158
15	0.13591770368510045	0.1556347240748025	inf	0.14273529655105144	0.505	159
16	0.13591770368510045	0.15517232577823842	inf	0.14644590035148955	0.535	152
17	0.13591770368510045	0.1454160882741642	inf	0.15409189851510333	0.515	141
18	0.13591770368510045	0.14541608827417007	inf	0.15626475314773816	0.515	149
19	0.13397025641529303	0.145416088282588	inf	0.17595061691594416	0.51	160
20	0.13269397166799424	0.6803555180701553	inf	0.14020797052384118	0.47	156
21	0.13269397166799424	0.4089695842339737	inf	0.18890421288741996	0.555	156
22	0.13269397166799424	0.14018896930817193	inf	0.18459349352636256	0.495	133
23	0.13269397166799424	0.14199129851022424	inf	0.15869996945146747	0.53	148
24	0.13269397166799424	0.6803555180701553	inf	0.18139045057871087	0.56	154
25	0.13269397166799424	0.31783313237770683	inf	0.17537556736318563	0.465	162
26	0.13269397166799424	0.15642635788458875	inf	0.17582559625931538	0.445	164
27	0.13266583251521705	0.1674366274839954	inf	0.20299361787145512	0.41	150
28	0.13266583250767255	0.6803555180701553	inf	0.19706302282010507	0.5	160
29	0.13266583250764738	0.6330721224718165	inf	0.20326398963529238	0.5	148
30	0.13266583250764738	0.3600854686458884	inf	0.1923595273659183	0.555	148
31	0.13266583250764738	0.37499161591897223	inf	0.14612429947471164	0.58	150
32	0.13266583250764738	0.13389925600712968	inf	0.14833505975564212	0.48	136
33	0.13266583250764738	0.6803555180701553	inf	0.19106293346724362	0.52	155
34	0.13266583250764738	0.6798213293807083	inf	0.19844460876846806	0.495	157
35	0.13266583250764738	0.20902345486098184	inf	0.16351850772365503	0.435	160
36	0.13266583250764738	0.3826549551747458	inf	0.2089543264182567	0.46	158
37	0.13266583250764738	0.14333416032475926	inf	0.16426452419976917	0.47	154
38	0.13266583250764738	0.2506102823579026	inf	0.14794391167895163	0.465	152
39	0.13266583250764738	0.2506102823579026	inf	0.2055704557624283	0.445	157
40	0.13266583250764738	0.3609088917465749	inf	0.18651893783354295	0.465	162
41	0.13266583250764738	0.36388020752520267	inf	0.16653502867766085	0.52	161
42	0.13266583250764738	0.6803555180701553	inf	0.18122952142878415	0.525	167
43	0.13266583250764738	0.6803555180701553	inf	0.1924271902595489	0.555	151
44	0.13266583250764738	0.4080703444057696	inf	0.18704160964137406	0.465	149
45	0.13266583250764738	0.14099899902128404	inf	0.1654015456617853	0.435	153
46	0.13266583250764738	0.3605890282517748	inf	0.1865388735428577	0.475	162
47	0.13266583250764738	0.3921780030688458	inf	0.1843993721596051	0.495	144
48	0.13266583250764738	0.4055644301553064	inf	0.15465263195209925	0.48	160
49	0.13266583250764738	0.35185517933496535	inf	0.18762902547255084	0.495	155
50	0.13266583250764738	0.1444904175720178	inf	0.18470600015037625	0.46	148
51	0.13266583250764738	0.40869969871879275	inf	0.16908176068451478	0.465	163
52	0.13266583250764738	0.13912460885016037	inf	0.14773377835186163	0.425	148
53	0.13266583250764738	0.33512561466756396	inf	0.16569424092850765	0.435	149
54	0.13184112487984267	0.3821883957377572	inf	0.2178432555944505	0.49	149
55	0.13184112487984267	0.4347306998266325	inf	0.1783482189422975	0.46	146
56	0.1318411248644584	0.29799764312190147	inf	0.15794450208143376	0.48	145
57	0.1318411248644296	0.4088375974215682	inf	0.186429465061438	0.54	169
58	0.1318411248644296	0.40592613913852216	inf	0.1934805694648344	0.53	153
59	0.13184112486442917	0.4387414679689752	inf	0.18751284005518817	0.6	155
60	0.13184112486442917	0.4064704918859358	inf	0.2060959590340172	0.575	142
61	0.13184112486437777	0.16512706971089824	inf	0.19220436608253966	0.575	147
62	0.131841124864163	0.3119294113252795	inf	0.19176985899172597	0.58	154
63	0.131841124864163	0.1412847431917681	inf	0.15747766678742167	0.475	139
64	0.131841124864163	0.1408579092030074	inf	0.19457963476709492	0.505	150
65	0.131841124864163	0.13911029275892686	inf	0.1542912447061572	0.535	150
66	0.131841124864163	0.30915223421430665	inf	0.15377252544939268	0.57	143
67	0.13184112486416294	0.40731993784179515	inf	0.18107015716808578	0.525	145
68	0.13184112486416294	0.6803555180701553	inf	0.20793195276696994	0.575	166
69	0.13184112486416294	0.6803555180701225	inf	0.20605802793087166	0.56	159
70	0.13184112486416294	0.1674366274909581	inf	0.1909275318639707	0.5	150
71	0.13184112486416294	0.14473622180657353	inf	0.16764353658090228	0.505	137
72	0.13184112486416294	0.14301076982986455	inf	0.1797450954062624	0.505	138
73	0.13184112486416294	0.14473679654861735	inf	0.17586325288848045	0.46	145
74	0.13184112486416294	0.6246477630729801	inf	0.18678607711257417	0.53	160
75	0.13184112486416294	0.14128474319189976	inf	0.1679766296715905	0.44	156
76	0.13184112486416294	0.3888502860206969	inf	0.17963158218425668	0.515	153
77	0.13184112486416294	0.4089695842339737	inf	0.18451899999305	0.475	162
78	0.13184112486416294	0.14128474319179277	inf	0.16242503609526063	0.465	147
79	0.13184112486416294	0.40354326006059654	inf	0.18255734109241453	0.5	161
80	0.13184112486416294	0.13911029275760023	inf	0.1740753862230273	0.47	154
81	0.13184112486416294	0.40007919281478477	inf	0.18304925982799936	0.48	154
82	0.13184112486416294	0.37219006074675187	inf	0.18770760509180096	0.48	163
83	0.13184112486416294	0.19016082264630746	inf	0.18217317076908085	0.485	154
84	0.13184112486416294	0.15608612524131737	inf	0.18647420044517588	0.475	147
85	0.13184112486416294	0.3621311687201767	inf	0.18911245949857938	0.52	153
