	add	sub	mul	div	sqrt	square	cube	ln	exp	EMWt	FCSP3	HAtmCount	HAtmMWt	LASA	MaxAbsESI	MaxAbsPC	MaxESI	MaxPC	MinAbsESI	MinAbsPC	MinESI	MinPC	MMR	MWt	NHOHCount	NOCount	NAliCc	NAliHc	NAliR	NAroCc	NAroHc	NAroR	NHA	NHD	NHetAtm	NRE	NRB	NSCc	NSHc	NSR	NVE	RCount	TPSA	logp	const	const/expr
11	0.05	0.08	0.65	0.745	0.055	0.02	0.02	0.03	0.98	0.4	0.005	0.035	0.01	0.03	0.01	0.005	0.015	0.015	0.045	0.015	0.005	0.025	0.005	0.005	0.005	0.03	0.005	0.015	0.01	0.01	0.015	0.15	0.015	0.015	0.59	0.005	0.025	0.01	0.015	0.02	0.02	0.04	0.025	0.01	0.735	1.07
12	0.045	0.11	0.72	0.765	0.015	0.015	0.03	0.04	0.99	0.505	0.005	0.06	0.015	0.05	0.015	0.0	0.01	0.0	0.03	0.03	0.0	0.02	0.005	0.005	0.005	0.015	0.005	0.015	0.0	0.01	0.005	0.215	0.01	0.01	0.63	0.005	0.03	0.025	0.01	0.005	0.0	0.0	0.035	0.005	0.765	1.12
13	0.005	0.085	0.86	0.8	0.02	0.005	0.01	0.015	0.99	0.525	0.005	0.065	0.015	0.065	0.005	0.0	0.01	0.01	0.005	0.015	0.005	0.03	0.005	0.005	0.005	0.005	0.015	0.005	0.0	0.0	0.005	0.33	0.02	0.01	0.71	0.005	0.04	0.015	0.01	0.0	0.0	0.01	0.0	0.01	0.76	1.06
14	0.015	0.105	0.82	0.75	0.025	0.015	0.01	0.015	0.97	0.61	0.01	0.075	0.005	0.065	0.005	0.01	0.0	0.015	0.01	0.0	0.015	0.01	0.01	0.01	0.005	0.01	0.0	0.01	0.0	0.015	0.015	0.44	0.025	0.005	0.7	0.01	0.04	0.0	0.01	0.005	0.01	0.025	0.005	0.005	0.735	0.94
15	0.015	0.09	0.88	0.81	0.005	0.0	0.015	0.005	0.99	0.725	0.005	0.105	0.005	0.095	0.01	0.0	0.005	0.0	0.005	0.0	0.005	0.02	0.005	0.005	0.005	0.015	0.005	0.0	0.0	0.01	0.005	0.56	0.02	0.005	0.745	0.005	0.015	0.015	0.0	0.015	0.0	0.0	0.005	0.0	0.79	0.975
16	0.025	0.165	0.87	0.795	0.025	0.025	0.01	0.015	0.98	0.735	0.015	0.16	0.015	0.15	0.015	0.005	0.015	0.005	0.0	0.005	0.01	0.0	0.005	0.015	0.0	0.005	0.005	0.01	0.01	0.005	0.0	0.595	0.005	0.005	0.745	0.01	0.005	0.015	0.015	0.015	0.0	0.01	0.0	0.015	0.77	0.995
17	0.01	0.275	0.91	0.805	0.025	0.02	0.015	0.01	0.98	0.735	0.005	0.28	0.0	0.3	0.015	0.01	0.0	0.005	0.005	0.005	0.005	0.01	0.025	0.02	0.005	0.015	0.01	0.01	0.015	0.02	0.01	0.53	0.02	0.01	0.745	0.0	0.005	0.01	0.005	0.01	0.0	0.005	0.0	0.01	0.805	1.065
18	0.005	0.47	0.87	0.8	0.015	0.01	0.03	0.025	0.98	0.69	0.005	0.5	0.01	0.485	0.01	0.015	0.005	0.0	0.01	0.01	0.0	0.02	0.0	0.015	0.005	0.015	0.005	0.005	0.005	0.015	0.015	0.29	0.005	0.01	0.715	0.005	0.0	0.005	0.015	0.01	0.01	0.0	0.01	0.01	0.82	1.315
19	0.015	0.665	0.905	0.875	0.03	0.02	0.005	0.005	0.975	0.78	0.005	0.65	0.01	0.705	0.01	0.005	0.005	0.01	0.0	0.0	0.0	0.015	0.01	0.005	0.005	0.01	0.015	0.005	0.005	0.01	0.005	0.11	0.01	0.005	0.755	0.005	0.01	0.005	0.005	0.0	0.005	0.01	0.0	0.0	0.885	1.59
20	0.01	0.745	0.93	0.935	0.01	0.03	0.005	0.01	0.995	0.855	0.01	0.7	0.01	0.745	0.0	0.0	0.01	0.005	0.005	0.0	0.0	0.005	0.06	0.005	0.005	0.005	0.01	0.0	0.0	0.005	0.005	0.025	0.0	0.005	0.795	0.01	0.005	0.0	0.0	0.005	0.01	0.005	0.005	0.005	0.935	1.675
21	0.02	0.775	0.915	0.9	0.01	0.025	0.015	0.02	0.995	0.725	0.02	0.745	0.005	0.71	0.01	0.02	0.01	0.02	0.005	0.005	0.02	0.005	0.12	0.005	0.015	0.005	0.0	0.0	0.015	0.005	0.01	0.02	0.0	0.02	0.71	0.015	0.025	0.015	0.0	0.01	0.015	0.0	0.01	0.0	0.89	1.63
22	0.0	0.79	0.94	0.945	0.025	0.025	0.0	0.02	0.985	0.76	0.005	0.78	0.015	0.6	0.015	0.01	0.0	0.005	0.0	0.005	0.015	0.015	0.25	0.01	0.005	0.0	0.005	0.0	0.015	0.02	0.005	0.01	0.0	0.0	0.75	0.015	0.005	0.015	0.005	0.0	0.01	0.005	0.005	0.0	0.945	1.765
23	0.01	0.775	0.94	0.935	0.005	0.005	0.005	0.01	0.985	0.745	0.005	0.755	0.01	0.325	0.005	0.005	0.0	0.01	0.0	0.0	0.015	0.005	0.51	0.005	0.005	0.0	0.01	0.015	0.005	0.0	0.01	0.005	0.005	0.0	0.825	0.005	0.0	0.0	0.005	0.01	0.005	0.005	0.01	0.015	0.95	1.79
24	0.005	0.75	0.885	0.87	0.02	0.02	0.045	0.03	0.945	0.755	0.01	0.69	0.0	0.155	0.015	0.01	0.01	0.015	0.01	0.01	0.01	0.005	0.605	0.005	0.01	0.01	0.01	0.005	0.005	0.005	0.01	0.01	0.015	0.015	0.77	0.0	0.015	0.005	0.005	0.01	0.01	0.015	0.025	0.0	0.88	1.585
25	0.01	0.79	0.925	0.915	0.0	0.01	0.005	0.005	0.99	0.785	0.005	0.745	0.005	0.055	0.0	0.0	0.005	0.0	0.005	0.0	0.0	0.015	0.73	0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.005	0.02	0.005	0.005	0.8	0.0	0.015	0.01	0.0	0.01	0.01	0.015	0.015	0.0	0.925	1.72
26	0.015	0.75	0.915	0.91	0.02	0.005	0.025	0.03	0.975	0.77	0.02	0.74	0.025	0.005	0.01	0.02	0.005	0.005	0.01	0.01	0.005	0.025	0.735	0.015	0.015	0.0	0.01	0.005	0.005	0.01	0.01	0.005	0.005	0.01	0.75	0.015	0.0	0.0	0.005	0.0	0.02	0.005	0.005	0.005	0.91	1.655
27	0.03	0.815	0.915	0.935	0.035	0.01	0.02	0.01	0.98	0.815	0.0	0.77	0.015	0.0	0.01	0.005	0.01	0.0	0.0	0.01	0.005	0.0	0.79	0.02	0.015	0.005	0.02	0.005	0.02	0.01	0.015	0.0	0.0	0.01	0.755	0.0	0.005	0.01	0.015	0.005	0.01	0.005	0.02	0.0	0.935	1.72
28	0.02	0.79	0.94	0.94	0.015	0.01	0.015	0.035	0.985	0.735	0.015	0.75	0.0	0.015	0.015	0.01	0.01	0.015	0.005	0.0	0.005	0.005	0.75	0.055	0.015	0.02	0.0	0.0	0.02	0.02	0.005	0.005	0.0	0.005	0.79	0.01	0.005	0.0	0.02	0.015	0.005	0.0	0.005	0.0	0.935	1.76
29	0.02	0.795	0.935	0.945	0.015	0.01	0.035	0.02	0.99	0.615	0.005	0.77	0.01	0.015	0.01	0.01	0.025	0.005	0.015	0.015	0.005	0.015	0.775	0.165	0.005	0.0	0.005	0.015	0.005	0.01	0.0	0.0	0.015	0.0	0.785	0.005	0.01	0.015	0.01	0.005	0.01	0.0	0.0	0.0	0.93	1.7
30	0.02	0.79	0.935	0.94	0.03	0.015	0.01	0.01	0.98	0.58	0.005	0.76	0.005	0.0	0.015	0.005	0.015	0.0	0.0	0.01	0.015	0.01	0.77	0.23	0.01	0.005	0.025	0.0	0.02	0.01	0.005	0.01	0.01	0.0	0.76	0.01	0.02	0.015	0.005	0.0	0.015	0.005	0.0	0.015	0.95	1.74
31	0.02	0.77	0.92	0.925	0.015	0.025	0.015	0.015	0.98	0.355	0.025	0.735	0.0	0.01	0.005	0.005	0.01	0.005	0.005	0.005	0.01	0.015	0.745	0.44	0.005	0.01	0.025	0.005	0.01	0.0	0.01	0.005	0.02	0.01	0.765	0.01	0.015	0.025	0.015	0.005	0.01	0.015	0.015	0.01	0.925	1.66
32	0.01	0.775	0.905	0.92	0.025	0.01	0.02	0.025	0.985	0.18	0.015	0.735	0.005	0.01	0.015	0.005	0.015	0.01	0.01	0.0	0.015	0.005	0.75	0.64	0.01	0.005	0.02	0.005	0.015	0.005	0.0	0.005	0.01	0.015	0.82	0.005	0.01	0.015	0.0	0.01	0.005	0.01	0.005	0.01	0.92	1.665
33	0.02	0.745	0.91	0.925	0.015	0.015	0.025	0.025	0.98	0.055	0.01	0.715	0.01	0.0	0.0	0.015	0.015	0.005	0.015	0.01	0.015	0.005	0.75	0.72	0.005	0.005	0.005	0.025	0.0	0.02	0.015	0.01	0.01	0.01	0.785	0.005	0.005	0.005	0.0	0.01	0.005	0.005	0.0	0.015	0.905	1.69
34	0.02	0.765	0.875	0.88	0.015	0.015	0.01	0.03	0.995	0.02	0.0	0.75	0.005	0.005	0.005	0.01	0.005	0.005	0.015	0.015	0.02	0.005	0.785	0.75	0.0	0.005	0.015	0.02	0.015	0.005	0.015	0.0	0.01	0.005	0.73	0.015	0.01	0.0	0.005	0.005	0.02	0.015	0.0	0.005	0.915	1.6
35	0.01	0.755	0.9	0.91	0.015	0.015	0.035	0.03	0.975	0.01	0.005	0.73	0.01	0.005	0.01	0.0	0.0	0.005	0.005	0.005	0.005	0.015	0.755	0.79	0.01	0.005	0.02	0.0	0.005	0.01	0.015	0.005	0.005	0.0	0.775	0.015	0.01	0.0	0.0	0.01	0.01	0.005	0.005	0.01	0.9	1.66
36	0.005	0.77	0.91	0.925	0.015	0.01	0.015	0.02	0.985	0.0	0.01	0.74	0.01	0.005	0.01	0.01	0.005	0.005	0.005	0.005	0.005	0.0	0.75	0.81	0.005	0.01	0.01	0.005	0.005	0.01	0.0	0.005	0.015	0.01	0.765	0.01	0.01	0.005	0.01	0.015	0.01	0.01	0.015	0.0	0.945	1.73
37	0.01	0.775	0.915	0.925	0.015	0.025	0.02	0.03	0.985	0.005	0.0	0.77	0.0	0.01	0.01	0.01	0.02	0.01	0.015	0.01	0.015	0.005	0.745	0.78	0.005	0.0	0.02	0.0	0.015	0.01	0.005	0.005	0.005	0.005	0.79	0.01	0.005	0.005	0.02	0.005	0.015	0.005	0.005	0.0	0.94	1.74
38	0.01	0.795	0.945	0.93	0.01	0.02	0.03	0.01	0.99	0.005	0.01	0.775	0.0	0.0	0.005	0.02	0.005	0.01	0.01	0.005	0.0	0.015	0.755	0.825	0.01	0.01	0.025	0.005	0.01	0.01	0.005	0.01	0.0	0.01	0.805	0.015	0.0	0.015	0.02	0.005	0.03	0.01	0.005	0.005	0.94	1.705
39	0.025	0.835	0.92	0.94	0.04	0.015	0.01	0.025	0.995	0.01	0.005	0.83	0.0	0.005	0.005	0.015	0.005	0.005	0.01	0.02	0.005	0.01	0.805	0.785	0.0	0.0	0.005	0.005	0.005	0.005	0.01	0.0	0.005	0.015	0.775	0.015	0.005	0.005	0.005	0.0	0.015	0.005	0.005	0.02	0.93	1.7
40	0.02	0.785	0.925	0.92	0.02	0.02	0.03	0.005	0.985	0.005	0.0	0.75	0.0	0.005	0.01	0.005	0.0	0.015	0.0	0.01	0.01	0.0	0.745	0.79	0.0	0.0	0.01	0.01	0.01	0.015	0.005	0.0	0.025	0.015	0.77	0.0	0.005	0.0	0.005	0.025	0.015	0.0	0.01	0.015	0.905	1.715
41	0.02	0.835	0.955	0.955	0.025	0.005	0.005	0.03	0.995	0.005	0.015	0.76	0.0	0.01	0.01	0.02	0.005	0.015	0.0	0.015	0.01	0.0	0.785	0.805	0.0	0.01	0.01	0.02	0.02	0.01	0.0	0.01	0.01	0.005	0.8	0.0	0.015	0.005	0.01	0.01	0.01	0.005	0.015	0.005	0.965	1.74
42	0.025	0.81	0.915	0.895	0.015	0.02	0.01	0.035	0.98	0.0	0.01	0.755	0.01	0.005	0.005	0.01	0.01	0.02	0.005	0.015	0.02	0.01	0.77	0.77	0.0	0.01	0.01	0.005	0.0	0.005	0.02	0.005	0.01	0.02	0.745	0.005	0.0	0.0	0.005	0.0	0.015	0.015	0.005	0.0	0.88	1.675
43	0.03	0.78	0.915	0.935	0.025	0.02	0.03	0.02	0.985	0.0	0.015	0.71	0.01	0.0	0.015	0.005	0.005	0.01	0.005	0.01	0.03	0.015	0.745	0.78	0.01	0.015	0.005	0.01	0.005	0.03	0.015	0.01	0.005	0.005	0.81	0.015	0.0	0.015	0.02	0.015	0.005	0.005	0.0	0.01	0.93	1.685
44	0.03	0.84	0.925	0.935	0.05	0.025	0.02	0.01	0.99	0.01	0.015	0.785	0.005	0.005	0.005	0.005	0.01	0.005	0.01	0.005	0.0	0.01	0.82	0.745	0.01	0.005	0.015	0.0	0.0	0.035	0.01	0.0	0.01	0.01	0.78	0.025	0.0	0.015	0.005	0.005	0.01	0.0	0.0	0.005	0.935	1.705
45	0.025	0.83	0.915	0.935	0.015	0.005	0.01	0.02	0.99	0.01	0.01	0.795	0.0	0.005	0.015	0.01	0.005	0.015	0.0	0.01	0.01	0.015	0.79	0.79	0.005	0.0	0.005	0.01	0.005	0.015	0.005	0.015	0.005	0.005	0.75	0.005	0.005	0.005	0.01	0.01	0.0	0.005	0.01	0.0	0.925	1.745
