	add	sub	mul	div	sqrt	square	cube	ln	exp	EMWt	FCSP3	HAtmCount	HAtmMWt	LASA	MaxAbsESI	MaxAbsPC	MaxESI	MaxPC	MinAbsESI	MinAbsPC	MinESI	MinPC	MMR	MWt	NHOHCount	NOCount	NAliCc	NAliHc	NAliR	NAroCc	NAroHc	NAroR	NHA	NHD	NHetAtm	NRE	NRB	NSCc	NSHc	NSR	NVE	RCount	TPSA	logp	const	const/expr
61	0.015	0.82	0.905	0.92	0.02	0.015	0.025	0.01	0.98	0.02	0.005	0.765	0.7	0.01	0.0	0.005	0.005	0.005	0.01	0.005	0.005	0.0	0.81	0.13	0.02	0.005	0.01	0.005	0.005	0.005	0.02	0.01	0.01	0.015	0.795	0.005	0.015	0.01	0.0	0.005	0.01	0.005	0.005	0.0	0.925	1.7
62	0.015	0.805	0.935	0.92	0.015	0.02	0.01	0.02	0.99	0.015	0.01	0.76	0.735	0.0	0.02	0.005	0.005	0.0	0.005	0.015	0.01	0.0	0.775	0.05	0.005	0.005	0.0	0.01	0.015	0.02	0.01	0.02	0.005	0.0	0.775	0.0	0.0	0.015	0.025	0.01	0.005	0.01	0.0	0.015	0.925	1.685
63	0.02	0.875	0.95	0.97	0.015	0.02	0.015	0.015	1.0	0.015	0.005	0.81	0.81	0.015	0.0	0.0	0.015	0.005	0.005	0.005	0.01	0.005	0.86	0.03	0.005	0.01	0.01	0.015	0.0	0.015	0.005	0.0	0.005	0.005	0.785	0.005	0.01	0.02	0.01	0.01	0.005	0.005	0.005	0.015	0.96	1.77
64	0.04	0.87	0.915	0.935	0.02	0.005	0.005	0.015	0.965	0.005	0.005	0.815	0.79	0.01	0.015	0.01	0.01	0.005	0.005	0.0	0.005	0.015	0.84	0.02	0.005	0.005	0.005	0.005	0.005	0.01	0.01	0.01	0.0	0.005	0.76	0.0	0.01	0.01	0.01	0.005	0.01	0.0	0.01	0.02	0.935	1.7
65	0.025	0.82	0.94	0.935	0.025	0.015	0.01	0.005	0.99	0.005	0.025	0.77	0.82	0.01	0.01	0.015	0.02	0.0	0.015	0.01	0.0	0.005	0.81	0.0	0.005	0.01	0.0	0.0	0.01	0.01	0.01	0.0	0.0	0.005	0.795	0.015	0.01	0.005	0.005	0.01	0.01	0.005	0.005	0.01	0.945	1.695
66	0.04	0.78	0.92	0.925	0.02	0.03	0.03	0.035	0.97	0.005	0.01	0.75	0.81	0.0	0.01	0.025	0.01	0.015	0.02	0.01	0.005	0.01	0.745	0.005	0.0	0.01	0.0	0.005	0.01	0.0	0.02	0.015	0.005	0.005	0.78	0.005	0.01	0.01	0.005	0.015	0.0	0.01	0.01	0.0	0.92	1.71
67	0.05	0.82	0.91	0.92	0.03	0.015	0.04	0.03	0.97	0.0	0.015	0.805	0.785	0.005	0.015	0.01	0.0	0.02	0.02	0.005	0.0	0.02	0.75	0.005	0.01	0.015	0.01	0.0	0.015	0.02	0.015	0.005	0.0	0.0	0.785	0.0	0.025	0.01	0.01	0.015	0.005	0.02	0.02	0.0	0.915	1.67
68	0.035	0.77	0.88	0.9	0.02	0.01	0.02	0.02	0.975	0.0	0.005	0.75	0.67	0.005	0.0	0.005	0.005	0.02	0.01	0.005	0.005	0.01	0.755	0.005	0.015	0.005	0.015	0.0	0.0	0.025	0.005	0.015	0.02	0.01	0.695	0.015	0.025	0.005	0.005	0.015	0.01	0.015	0.01	0.015	0.895	1.565
69	0.02	0.72	0.865	0.89	0.03	0.05	0.03	0.025	0.975	0.005	0.015	0.725	0.675	0.0	0.015	0.015	0.025	0.01	0.0	0.01	0.01	0.005	0.72	0.01	0.01	0.0	0.01	0.005	0.015	0.015	0.0	0.01	0.025	0.0	0.69	0.015	0.03	0.005	0.0	0.01	0.015	0.005	0.01	0.0	0.88	1.585
70	0.01	0.78	0.93	0.945	0.03	0.03	0.0	0.03	0.98	0.01	0.01	0.75	0.79	0.01	0.0	0.005	0.01	0.005	0.0	0.005	0.0	0.01	0.755	0.025	0.03	0.01	0.0	0.015	0.015	0.025	0.005	0.01	0.01	0.005	0.775	0.015	0.005	0.005	0.01	0.0	0.01	0.01	0.01	0.0	0.935	1.735
71	0.015	0.795	0.905	0.915	0.03	0.005	0.03	0.02	0.98	0.01	0.015	0.755	0.79	0.0	0.01	0.01	0.0	0.0	0.01	0.0	0.005	0.005	0.75	0.01	0.025	0.015	0.0	0.0	0.01	0.01	0.005	0.01	0.01	0.005	0.765	0.01	0.005	0.015	0.025	0.005	0.005	0.005	0.005	0.0	0.92	1.725
72	0.015	0.825	0.95	0.945	0.02	0.005	0.02	0.045	0.995	0.005	0.005	0.775	0.815	0.005	0.01	0.0	0.015	0.01	0.0	0.02	0.01	0.0	0.795	0.01	0.01	0.0	0.0	0.005	0.005	0.0	0.015	0.01	0.015	0.0	0.81	0.005	0.005	0.005	0.01	0.005	0.01	0.005	0.005	0.015	0.965	1.77
73	0.005	0.835	0.95	0.965	0.01	0.005	0.02	0.015	0.995	0.005	0.0	0.82	0.805	0.005	0.005	0.005	0.01	0.005	0.0	0.03	0.01	0.0	0.82	0.01	0.005	0.005	0.005	0.015	0.005	0.025	0.01	0.0	0.015	0.005	0.78	0.01	0.03	0.005	0.01	0.0	0.005	0.005	0.01	0.005	0.95	1.715
