	EMWt	FCSP3	HAtmCount	HAtmMWt	LASA	MaxAbsESI	MaxAbsPC	MaxESI	MaxPC	MinAbsESI	MinAbsPC	MinESI	MinPC	MMR	MWt	NHOHCount	NOCount	NAliCc	NAliHc	NAliR	NAroCc	NAroHc	NAroR	NHA	NHD	NHetAtm	NRE	NRB	NSCc	NSHc	NSR	NVE	RCount	TPSA	logp	nonstereo_aromatic_smiles	zinc_id	QED	SA_score
602914	266.1452843	0.571428571	18	244.234	113.9799959	11.91069996	0.34263885	11.91069996	0.222889106	0.187922336	0.222889106	0.187922336	-0.34263885	77.909	266.41	0	3	0	0	0	0	1	1	3	0	4	0	6	0	0	0	100	1	33.2	2.533	Cc1cccnc1CC(C)N(C)C(=O)CCSC	ZINC000223314522	0.793069021	2.94786418
496160	439.1775028	0.347826087	31	413.739	186.5391503	13.2640077	0.493887432	13.2640077	0.326241832	0.252357148	0.326241832	-0.252357148	-0.493887432	121.8417	439.947	1	7	0	1	1	2	1	3	5	1	8	0	6	0	0	0	162	4	72.28	5.295	CCOc1ccc(cc1)N(Cc2nnc3n2CCCCC3)C(=O)Nc4ccc(cc4)Cl	ZINC000016806008	0.565572525	2.361699088
249262	583.2271554	0.35483871	40	545.878	242.7464549	14.01857022	0.349723977	14.01857022	0.26429133	0.072884702	0.26429133	-4.119229366	-0.349723977	160.9865	584.182	1	7	0	0	0	3	0	3	4	1	9	0	9	0	0	0	214	3	86.79	5.793	Cc1ccc(cc1)S(=O)(=O)N(CC(=O)N(Cc2cccc(c2)Cl)C(C)C(=O)NC(C)(C)C)c3ccc(c(c3)C)C	ZINC000261083247	0.345207379	3.045573043
653178	198.0440703	0.0	14	191.097	78.33385358	12.97833711	0.477506646	12.97833711	0.340331226	0.162037037	0.340331226	-1.46587963	-0.477506646	46.5654	198.153	4	5	0	0	0	1	0	1	2	3	6	0	2	0	0	0	74	1	92.42	1.015	c1cc(c(c(c1)F)C(=O)O)NC(=O)N	ZINC000035307032	0.661678801	1.930542956
743075	344.1325267	0.625	22	319.708	138.6587026	13.03538549	0.304798442	13.03538549	0.244381849	0.233860072	0.244381849	-3.558194444	-0.304798442	90.7508	344.908	0	4	0	1	1	1	0	1	3	0	6	0	4	0	1	1	124	2	40.62	2.855	Cc1cccc(c1S(=O)(=O)N2CC(C(C2)N(C)C)C(C)C)Cl	ZINC000091585746	0.842891907	3.376084882
216660	128.0585775	0.6	9	120.067	52.40598541	10.43902778	0.367888309	10.43902778	0.239514942	0.084444444	0.239514942	-0.443657407	-0.367888309	30.3591	128.131	3	4	0	1	1	0	0	0	2	2	4	0	1	0	1	1	50	1	72.19	-1.25	C1CC(=O)NC1C(=O)N	ZINC000004764135	0.462827993	2.866140694
136216	277.179027	0.666666667	20	254.184	119.5948207	11.67654415	0.480785989	11.67654415	0.310438742	0.580244355	0.310438742	-0.652853888	-0.480785989	76.2568	277.368	1	5	0	1	1	0	1	1	4	1	5	0	5	0	1	1	110	2	66.32	2.252	CCCC1(CCCN(C1)Cc2c(nccn2)C)C(=O)O	ZINC000091756419	0.89384019	3.114515295
479467	327.9881108	0.25	18	316.115	114.8504271	12.44580877	0.268647254	12.44580877	0.268647254	0.261851852	0.237514319	-3.544328704	-0.237514319	73.0678	329.219	0	4	0	0	0	1	1	2	4	0	6	0	3	0	0	0	96	2	51.96	2.753	CCc1nc(cn1S(=O)(=O)c2ccc(cc2)Br)C	ZINC000000264573	0.87000682	2.290972412
145111	499.1975964	0.214285714	37	472.331	213.2635178	12.98253599	0.507966645	12.98253599	0.407325324	0.072358025	0.407325324	-1.052422472	-0.507966645	135.4593	499.547	4	9	1	0	1	3	0	3	6	4	9	0	9	0	0	0	188	4	142.68	3.216	CC(C(=O)C=[N+]=N)NC(=O)C(Cc1ccc(cc1)O)NC(=O)OCC2c3ccccc3-c4c2cccc4	ZINC000644163849	0.203103837	3.501461539
630594	370.2056563	0.545454545	27	343.252	159.3616559	13.27650162	0.342383668	13.27650162	0.227570819	0.014747959	0.227570819	-0.348878384	-0.342383668	102.5517	370.468	1	4	2	1	3	1	0	1	2	1	5	0	4	1	1	2	144	4	49.41	4.283	c1cc(cc(c1)F)NC(=O)C2CC23CCN(CC3)C(=O)CC4=CCCCC4	ZINC000011999736	0.804297632	3.441068198
519799	437.2249316	0.5	31	406.365	187.6402773	13.49277341	0.335920298	13.49277341	0.274005397	0.095202604	0.274005397	0.095202604	-0.335920298	124.7805	437.613	0	6	0	2	2	1	2	3	6	0	7	0	4	0	2	2	164	5	44.09	3.553	CN1CCCN(CC1)C(=O)c2c(n3ccsc3n2)CN4CCCC(C4)c5ccccc5	ZINC000039468246	0.62616965	2.988150308
